,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,vegf,OS,comb,0.6180099127925215,0.5103800140745953,0.4703566030323025-0.5504034251168881,0.6872206024662368,0.650100868443426-0.7243403364890477
0,vegf,OS,comb,0.6201765062634628,0.4904996481351161,0.45047483665439897-0.5305244596158332,0.6677950663478134,0.6300845618168089-0.7055055708788178
0,reg,OS,cna,0.7595238095238096,0.5650000000000001,0.45414536545547596-0.6758546345445242,0.6475,0.5406721595275837-0.7543278404724162
0,reg,PFS,clin,0.6555555555555556,0.6818181818181818,0.5749631031859938-0.7886732604503698,0.6679549579950649,0.5599122929124627-0.7759976230776673
0,reg,OS,clin,0.5571428571428572,0.505,0.3932021914347155-0.6167978085652845,0.4698392616155774,0.3582394565395589-0.5814390666915958
0,reg,PFS,cna,0.8111111111111111,0.5568181818181819,0.4428533455481898-0.670783018088174,0.768048128342246,0.6712166956215206-0.8648795610629714
0,reg,PFS,mut,0.7361111111111113,0.375,0.2639345854201702-0.4860654145798298,0.5713818345397292,0.4578489425522568-0.6849147265272018
0,reg,OS,mut,0.5,0.5,0.38819660112501053-0.6118033988749895,0.75,0.6531754163448146-0.8468245836551854
0,reg,OS,comb,0.5285714285714286,0.4249999999999999,0.3144615451528292-0.5355384548471707,0.4578971325372254,0.34649081571645174-0.5693034493579991
0,reg,PFS,comb,0.8055555555555557,0.6079545454545454,0.4959522390601298-0.719956851848961,0.6166911519852695,0.5051509361912031-0.7282313677793358
0,vegf,OS,clin,0.5773201999288956,0.5606087262491203,0.520871884990398-0.6003455675078425,0.7026148791239397,0.6660169939778818-0.7392127642699976
0,vegf,OS,mut,0.5726231256666039,0.5484693877551021,0.5086258863345082-0.5883128891756958,0.6956173896961503,0.6587762688537268-0.7324585105385738
0,vegf,OS,cna,0.5681274442144006,0.5068613652357495,0.46683309624521163-0.5468896342262874,0.6203821551800528,0.5815277147254564-0.6592365956346492
0,vegf,OS,comb,0.6201765062634628,0.4904996481351161,0.45047483665439897-0.5305244596158332,0.6677950663478134,0.6300845618168089-0.7055055708788178
0,vegf,PFS,mut,0.5515280078895464,0.4420341394025604,0.40148458461625003-0.4825836941888708,0.4710016657400804,0.43024555400125447-0.5117577774789064
0,vegf,PFS,clin,0.6091972386587771,0.5240042674253201,0.4832265124482599-0.5647820224023803,0.4900287482297549,0.44921203807830384-0.5308454583812059
0,vegf,PFS,comb,0.5658820512820513,0.4911095305832148,0.4502911556724348-0.5319279054939948,0.4750789945832089,0.4343049061209664-0.5158530830454513
0,egfr,OS,clin,0.6183333333333334,0.6063218390804598,0.5392122881848788-0.6734313899760408,0.6373210146745113,0.571281726921252-0.7033603024277706
0,egfr,PFS,mut,0.6098181818181818,0.4953125,0.4259780225979847-0.5646469774020153,0.6703998124419795,0.6052131125361678-0.7355865123477913
0,egfr,OS,cna,0.73,0.5014367816091954,0.4327567831945341-0.5701167800238567,0.6055999262511905,0.5384688722814405-0.6727309802209406
0,egfr,PFS,clin,0.6747878787878788,0.52734375,0.45810998776376577-0.5965775122362342,0.6183640444147931,0.5509973736737924-0.6857307151557938
0,egfr,PFS,comb,0.7056969696969697,0.58671875,0.5184320441197926-0.6550054558802073,0.7256227082397188,0.6637459085725614-0.7874995079068761
0,reg,OS,clin,0.6460952380952381,0.9117647058823528,0.8498700846106879-0.9736593271540177,0.981148047454276,0.9514699679767686-1.010826126931783
0,reg,OS,cna,0.6460952380952381,0.8877551020408163,0.8188708026197629-0.9566394014618698,0.956032509157509,0.9112928651887346-1.0007721531262834
0,reg,OS,mut,0.6460952380952381,0.5673076923076923,0.45919186496625064-0.6754235196491339,0.7197447877728897,0.6217379298382466-0.8177516457075329
0,reg,OS,comb,0.6451746031746032,0.5555555555555556,0.4471222141168297-0.6639888969942815,0.6052653637212461,0.49860185114868966-0.7119288762938024
